GB 18030 码位	UCS 码位	字符	注释
0xB0D4	U+9738	霸
0xF767	U+9C63	鱣
0xF768	U+9C64	鱤
0xF76C	U+9C68	鱨
0xF771	U+9C6D	鱭
0xF775	U+9C71	鱱
0xF776	U+9C72	鱲
0xF777	U+9C73	鱳
0xF779	U+9C75	鱵
0xF77B	U+9C77	鱷
0xF77C	U+9C78	鱸
0xF780	U+9C7B	鱻
0xF840	U+9CE3	鳣
0xF852	U+9CF5	鳵
0xF869	U+9D0C	鴌
0xF86A	U+9D0D	鴍
0xF86C	U+9D0F	鴏
0xF870	U+9D13	鴓
0xF873	U+9D16	鴖
0xF877	U+9D1A	鴚
0xF87A	U+9D1D	鴝
0xF87C	U+9D1F	鴟
0xF880	U+9D22	鴢
0xF884	U+9D26	鴦
0xF88D	U+9D2F	鴯
0xF892	U+9D34	鴴
0xF895	U+9D37	鴷
0xF89E	U+9D40	鵀
0xF8A0	U+9D42	鵂
0xF943	U+9D46	鵆
0xF946	U+9D49	鵉
0xF948	U+9D4B	鵋
0xF949	U+9D4C	鵌
0xF951	U+9D54	鵔
0xF954	U+9D57	鵗
0xF955	U+9D58	鵘
0xF959	U+9D5C	鵜
0xF95A	U+9D5D	鵝
0xF95B	U+9D5E	鵞
0xF95C	U+9D5F	鵟
0xF95E	U+9D61	鵡
0xF961	U+9D64	鵤
0xF962	U+9D65	鵥
0xF963	U+9D66	鵦
0xF966	U+9D69	鵩
0xF969	U+9D6C	鵬
0xF96B	U+9D6E	鵮
0xF96D	U+9D70	鵰
0xF970	U+9D73	鵳
0xF971	U+9D74	鵴
0xF972	U+9D75	鵵
0xF974	U+9D77	鵷
0xF976	U+9D79	鵹
0xF978	U+9D7B	鵻
0xF97A	U+9D7D	鵽
0xF97C	U+9D7F	鵿
0xF981	U+9D83	鶃
0xF988	U+9D8A	鶊
0xF98A	U+9D8C	鶌
0xF98B	U+9D8D	鶍
0xF990	U+9D92	鶒
0xF992	U+9D94	鶔
0xF994	U+9D96	鶖
0xF996	U+9D98	鶘
0xF999	U+9D9B	鶛
0xF99B	U+9D9D	鶝
0xF99C	U+9D9E	鶞
0xF99E	U+9DA0	鶠
0xF99F	U+9DA1	鶡
0xFA40	U+9DA3	鶣
0xFA42	U+9DA5	鶥
0xFA43	U+9DA6	鶦
0xFA46	U+9DA9	鶩
0xFA49	U+9DAC	鶬
0xFA4A	U+9DAD	鶭
0xFA4B	U+9DAE	鶮
0xFA4C	U+9DAF	鶯
0xFA4E	U+9DB1	鶱
0xFA4F	U+9DB2	鶲
0xFA50	U+9DB3	鶳
0xFA51	U+9DB4	鶴
0xFA52	U+9DB5	鶵
0xFA53	U+9DB6	鶶
0xFA55	U+9DB8	鶸
0xFA56	U+9DB9	鶹
0xFA59	U+9DBC	鶼
0xFA5C	U+9DBF	鶿
0xFA5D	U+9DC0	鷀
0xFA5E	U+9DC1	鷁
0xFA61	U+9DC4	鷄
0xFA63	U+9DC6	鷆
0xFA64	U+9DC7	鷇
0xFA65	U+9DC8	鷈
0xFA66	U+9DC9	鷉
0xFA67	U+9DCA	鷊
0xFA68	U+9DCB	鷋
0xFA69	U+9DCC	鷌
0xFA6C	U+9DCF	鷏
0xFA6D	U+9DD0	鷐
0xFA70	U+9DD3	鷓
0xFA71	U+9DD4	鷔
0xFA72	U+9DD5	鷕
0xFA73	U+9DD6	鷖
0xFA74	U+9DD7	鷗
0xFA75	U+9DD8	鷘
0xFA76	U+9DD9	鷙
0xFA78	U+9DDB	鷛
0xFA79	U+9DDC	鷜
0xFA7C	U+9DDF	鷟
0xFA7D	U+9DE0	鷠
0xFA7E	U+9DE1	鷡
0xFA80	U+9DE2	鷢
0xFA83	U+9DE5	鷥
0xFA84	U+9DE6	鷦
0xFA87	U+9DE9	鷩
0xFA88	U+9DEA	鷪
0xFA89	U+9DEB	鷫
0xFA8C	U+9DEE	鷮
0xFA8D	U+9DEF	鷯
0xFA8E	U+9DF0	鷰
0xFA90	U+9DF2	鷲
0xFA91	U+9DF3	鷳
0xFA92	U+9DF4	鷴
0xFA93	U+9DF5	鷵
0xFA95	U+9DF7	鷷
0xFA96	U+9DF8	鷸
0xFA97	U+9DF9	鷹
0xFA98	U+9DFA	鷺
0xFA99	U+9DFB	鷻
0xFA9A	U+9DFC	鷼
0xFA9B	U+9DFD	鷽
0xFA9C	U+9DFE	鷾
0xFA9D	U+9DFF	鷿
0xFA9E	U+9E00	鸀
0xFA9F	U+9E01	鸁
0xFAA0	U+9E02	鸂
0xFB40	U+9E03	鸃
0xFB41	U+9E04	鸄
0xFB42	U+9E05	鸅
0xFB43	U+9E06	鸆
0xFB44	U+9E07	鸇
0xFB45	U+9E08	鸈
0xFB46	U+9E09	鸉
0xFB47	U+9E0A	鸊
0xFB49	U+9E0C	鸌
0xFB4A	U+9E0D	鸍
0xFB4B	U+9E0E	鸎
0xFB4C	U+9E0F	鸏
0xFB4D	U+9E10	鸐
0xFB4E	U+9E11	鸑
0xFB4F	U+9E12	鸒
0xFB50	U+9E13	鸓
0xFB51	U+9E14	鸔
0xFB52	U+9E15	鸕
0xFB53	U+9E16	鸖
0xFB54	U+9E17	鸗
0xFB55	U+9E18	鸘
0xFB56	U+9E19	鸙
0xFB57	U+9E1A	鸚
0xFB58	U+9E1B	鸛
0xFB59	U+9E1C	鸜
0xFB5A	U+9E1D	鸝
0xFB5B	U+9E1E	鸞
0xFB72	U+9E6F	鹯
0xFB79	U+9E79	鹹
0xFB83	U+9E85	麅
0xFB84	U+9E86	麆
0xFB87	U+9E8C	麌
0xFB88	U+9E8D	麍
0xFB89	U+9E8E	麎
0xFB8A	U+9E8F	麏
0xFB8B	U+9E90	麐
0xFB8C	U+9E91	麑
0xFB8D	U+9E94	麔
0xFB8E	U+9E95	麕
0xFB8F	U+9E96	麖
0xFB91	U+9E98	麘
0xFB92	U+9E99	麙
0xFB93	U+9E9A	麚
0xFB94	U+9E9B	麛
0xFB95	U+9E9C	麜
0xFB96	U+9E9E	麞
0xFB97	U+9EA0	麠
0xFB98	U+9EA1	麡
0xFB99	U+9EA2	麢
0xFB9A	U+9EA3	麣
0xFB9B	U+9EA4	麤
0xFC4B	U+9EB7	麷
0xFC52	U+9EC2	黂
0xFC5A	U+9ECC	黌
0xFC68	U+9EE8	黨
0xFC6A	U+9EEC	黬
0xFC70	U+9EF3	黳
0xFC71	U+9EF4	黴
0xFC73	U+9EF6	黶
0xFC74	U+9EF7	黷
0xFC75	U+9EF8	黸
0xFC7A	U+9F01	鼁
0xFC7B	U+9F02	鼂
0xFC7C	U+9F03	鼃
0xFC7D	U+9F04	鼄
0xFC7E	U+9F05	鼅
0xFC81	U+9F07	鼇
0xFC82	U+9F08	鼈
0xFC83	U+9F09	鼉
0xFC84	U+9F0A	鼊
0xFC85	U+9F0C	鼌
0xFC8A	U+9F15	鼕
0xFC8C	U+9F18	鼘
0xFC8D	U+9F1A	鼚
0xFC8E	U+9F1B	鼛
0xFC8F	U+9F1C	鼜
0xFC90	U+9F1D	鼝
0xFC91	U+9F1E	鼞
0xFC92	U+9F1F	鼟
0xFD46	U+9F3A	鼺
0xFD47	U+9F3C	鼼
0xFD48	U+9F3F	鼿
0xFD49	U+9F40	齀
0xFD4A	U+9F41	齁
0xFD4B	U+9F42	齂
0xFD4C	U+9F43	齃
0xFD4D	U+9F45	齅
0xFD4E	U+9F46	齆
0xFD4F	U+9F47	齇
0xFD50	U+9F48	齈
0xFD51	U+9F49	齉
0xFD56	U+9F4E	齎
0xFD57	U+9F4F	齏
0xFD80	U+9F79	齹
0xFD85	U+9F7E	齾
0xFD8A	U+9F8F	龏
0xFD8C	U+9F91	龑
0xFD8D	U+9F92	龒
0xFD8F	U+9F94	龔
0xFD90	U+9F95	龕
0xFD92	U+9F97	龗
0xFD93	U+9F98	龘
0xFD96	U+9F9E	龞
0xFD97	U+9FA1	龡
0xFD98	U+9FA2	龢
0xFD99	U+9FA3	龣
0xFD9A	U+9FA4	龤
0xFD9B	U+9FA5	龥
0xFE49	U+FA20	蘒
0xFE8B	U+4986	䦆
0xFE92	U+4CA3	䲣
0xFE96	U+4C77	䱷
0x8139F234	U+3423	㐣
0x8139F237	U+3426	㐦
0x8139F336	U+342F	㐯
0x82308134	U+34A7	㒧
0x82308B33	U+350A	㔊
0x82308E32	U+3527	㔧
0x82308F37	U+3536	㔶
0x8230A234	U+35F2	㗲
0x8230A434	U+3606	㘆
0x8230A438	U+360A	㘊
0x8230A533	U+3610	㘐
0x8230A535	U+3612	㘒
0x8230A537	U+3614	㘔
0x8230A633	U+361B	㘛
0x8230AF34	U+3676	㙶
0x8230AF38	U+367A	㙺
0x8230B036	U+3682	㚂
0x8230B038	U+3684	㚄
0x8230C236	U+3736	㜶
0x8230C331	U+373B	㜻
0x8230C332	U+373C	㜼
0x8230C833	U+376F	㝯
0x8230C834	U+3770	㝰
0x8230C836	U+3772	㝲
0x8230D631	U+37F9	㟹
0x8230D632	U+37FA	㟺
0x8230D834	U+3810	㠐
0x8230DA30	U+3820	㠠
0x8230DA35	U+3825	㠥
0x8230DA38	U+3828	㠨
0x8230E134	U+386A	㡪
0x8230E534	U+3892	㢒
0x8230E631	U+3899	㢙
0x8230E632	U+389A	㢚
0x8230E636	U+389E	㢞
0x8230EF34	U+38F6	㣶
0x8230FB36	U+3972	㥲
0x8230FE32	U+398C	㦌
0x8230FE34	U+398E	㦎
0x82318230	U+399E	㦞
0x82319134	U+3A3B	㨻
0x82319236	U+3A47	㩇
0x82319431	U+3A56	㩖
0x82319731	U+3A75	㩵
0x82319733	U+3A77	㩷
0x82319734	U+3A78	㩸
0x82319735	U+3A79	㩹
0x82319C37	U+3AAD	㪭
0x8231A839	U+3B27	㬧
0x8231A932	U+3B2A	㬪
0x8231A936	U+3B2E	㬮
0x8231B937	U+3BD0	㯐
0x8231BA31	U+3BD4	㯔
0x8231BC36	U+3BED	㯭
0x8231BC38	U+3BEF	㯯
0x8231BD30	U+3BF1	㯱
0x8231BE30	U+3BFB	㯻
0x8231BF31	U+3C06	㰆
0x8231BF38	U+3C0D	㰍
0x8231C036	U+3C15	㰕
0x8231C131	U+3C1A	㰚
0x8231C539	U+3C4A	㱊
0x8231C632	U+3C4D	㱍
0x8231C733	U+3C58	㱘
0x8231CA36	U+3C7A	㱺
0x8231D032	U+3CB2	㲲
0x8231D037	U+3CB7	㲷
0x8231D836	U+3D07	㴇
0x8231E330	U+3D6F	㵯
0x8231E637	U+3D94	㶔
0x8231E730	U+3D97	㶗
0x8231E731	U+3D98	㶘
0x8231E735	U+3D9C	㶜
0x8231E737	U+3D9E	㶞
0x8231E738	U+3D9F	㶟
0x8231E739	U+3DA0	㶠
0x8231EF36	U+3DED	㷭
0x8231F332	U+3E11	㸑
0x8231F532	U+3E25	㸥
0x8231F939	U+3E54	㹔
0x82328233	U+3E94	㺔
0x82328430	U+3EA5	㺥
0x82328432	U+3EA7	㺧
0x82328E37	U+3F10	㼐
0x82328F31	U+3F14	㼔
0x82329437	U+3F4C	㽌
0x8232A132	U+3FC9	㿉
0x8232A138	U+3FCF	㿏
0x8232A231	U+3FD2	㿒
0x8232A235	U+3FD6	㿖
0x8232A238	U+3FD9	㿙
0x8232A330	U+3FDB	㿛
0x8232A331	U+3FDC	㿜
0x8232A434	U+3FE9	㿩
0x8232A736	U+4009	䀉
0x8232A739	U+400C	䀌
0x8232A830	U+400D	䀍
0x8232B232	U+4074	䁴
0x8232B334	U+4080	䂀
0x8232B335	U+4081	䂁
0x8232B338	U+4084	䂄
0x8232B339	U+4085	䂅
0x8232BC38	U+40DE	䃞
0x8232BD33	U+40E3	䃣
0x8232BD36	U+40E6	䃦
0x8232BD37	U+40E7	䃧
0x8232BE30	U+40EA	䃪
0x8232BF37	U+40FB	䃻
0x8232C333	U+411F	䄟
0x8232C334	U+4120	䄠
0x8232C337	U+4123	䄣
0x8232CD32	U+4183	䆃
0x8232CD33	U+4184	䆄
0x8232CD36	U+4187	䆇
0x8232CE30	U+418B	䆋
0x8232CE35	U+4190	䆐
0x8232D133	U+41AC	䆬
0x8232D136	U+41AF	䆯
0x8232D231	U+41B4	䆴
0x8232D330	U+41BD	䆽
0x8232DF38	U+423D	䈽
0x8232E131	U+424A	䉊
0x8232E330	U+425D	䉝
0x8232E334	U+4261	䉡
0x8232E339	U+4266	䉦
0x8232E438	U+426F	䉯
0x8232E533	U+4274	䉴
0x8232E534	U+4275	䉵
0x8232E536	U+4277	䉷
0x8232E538	U+4279	䉹
0x8232F832	U+4331	䌱
0x8232F835	U+4334	䌴
0x8232F836	U+4335	䌵
0x8232FD31	U+4363	䍣
0x82339431	U+4438	䐸
0x82339533	U+4444	䑄
0x82339638	U+4453	䑓
0x8233AA36	U+451A	䔚
0x8233AF34	U+454A	䕊
0x8233AF39	U+454F	䕏
0x8233B035	U+4555	䕕
0x8233B037	U+4557	䕗
0x8233B130	U+455A	䕚
0x8233B232	U+4566	䕦
0x8233B238	U+456C	䕬
0x8233B334	U+4572	䕲
0x8233B432	U+457A	䕺
0x8233B433	U+457B	䕻
0x8233B434	U+457C	䕼
0x8233B436	U+457E	䕾
0x8233B437	U+457F	䕿
0x8233B438	U+4580	䖀
0x8233B530	U+4582	䖂
0x8233B532	U+4584	䖄
0x8233B533	U+4585	䖅
0x8233B534	U+4586	䖆
0x8233B535	U+4587	䖇
0x8233B733	U+4599	䖙
0x8233BF36	U+45EC	䗬
0x8233C035	U+45F5	䗵
0x8233C137	U+4601	䘁
0x8233C234	U+4608	䘈
0x8233C239	U+460D	䘍
0x8233C330	U+460E	䘎
0x8233C431	U+4619	䘙
0x8233CA35	U+465A	䙚
0x8233CC36	U+4670	䙰
0x8233CC37	U+4671	䙱
0x8233D034	U+4696	䚖
0x8233D235	U+46AB	䚫
0x8233D632	U+46D0	䛐
0x8233DC36	U+4710	䜐
0x8233DE33	U+4721	䜡
0x8233E634	U+4774	䝴
0x8233E832	U+4787	䞇
0x8233EE33	U+47C5	䟅
0x8233EE38	U+47CA	䟊
0x8233EE39	U+47CB	䟋
0x8233EF31	U+47CD	䟍
0x8233EF35	U+47D1	䟑
0x8233F931	U+4831	䠱
0x8233FA36	U+4840	䡀
0x8233FD36	U+485E	䡞
0x8233FE32	U+4864	䡤
0x8233FE36	U+4868	䡨
0x82348134	U+4870	䡰
0x82348235	U+487B	䡻
0x82348236	U+487C	䡼
0x82348238	U+487E	䡾
0x82348338	U+4888	䢈
0x82348732	U+48AA	䢪
0x82348739	U+48B1	䢱
0x82348830	U+48B2	䢲
0x82348B36	U+48D6	䣖
0x82348C39	U+48E3	䣣
0x82348D30	U+48E4	䣤
0x82349131	U+490D	䤍
0x82349134	U+4910	䤐
0x82349136	U+4912	䤒
0x82349138	U+4914	䤔
0x82349139	U+4915	䤕
0x82349230	U+4916	䤖
0x82349231	U+4917	䤗
0x82349232	U+4918	䤘
0x82349233	U+4919	䤙
0x82349935	U+4962	䥢
0x82349A39	U+4970	䥰
0x82349B31	U+4972	䥲
0x82349B32	U+4973	䥳
0x8234A035	U+49B0	䦰
0x8234A036	U+49B1	䦱
0x8234A037	U+49B2	䦲
0x8234A636	U+49EF	䧯
0x8234A933	U+4A0A	䨊
0x8234AA30	U+4A11	䨑
0x8234AA35	U+4A16	䨖
0x8234AA36	U+4A17	䨗
0x8234AA37	U+4A18	䨘
0x8234AB32	U+4A1D	䨝
0x8234AB33	U+4A1E	䨞
0x8234AB35	U+4A20	䨠
0x8234AB37	U+4A22	䨢
0x8234AB38	U+4A23	䨣
0x8234AC30	U+4A25	䨥
0x8234AC31	U+4A26	䨦
0x8234AC33	U+4A28	䨨
0x8234AC35	U+4A2A	䨪
0x8234AC36	U+4A2B	䨫
0x8234AC39	U+4A2E	䨮
0x8234AD30	U+4A2F	䨯
0x8234AD31	U+4A30	䨰
0x8234AD32	U+4A31	䨱
0x8234AD34	U+4A33	䨳
0x8234AD35	U+4A34	䨴
0x8234AD36	U+4A35	䨵
0x8234AD37	U+4A36	䨶
0x8234AD38	U+4A37	䨷
0x8234AD39	U+4A38	䨸
0x8234AE30	U+4A39	䨹
0x8234AE31	U+4A3A	䨺
0x8234AE32	U+4A3B	䨻
0x8234AE38	U+4A41	䩁
0x8234AF38	U+4A4B	䩋
0x8234B235	U+4A66	䩦
0x8234B533	U+4A82	䪂
0x8234B633	U+4A8C	䪌
0x8234C038	U+4AF5	䫵
0x8234C133	U+4AFA	䫺
0x8234C135	U+4AFC	䫼
0x8234C137	U+4AFE	䫾
0x8234C139	U+4B00	䬀
0x8234C230	U+4B01	䬁
0x8234C231	U+4B02	䬂
0x8234C232	U+4B03	䬃
0x8234C233	U+4B04	䬄
0x8234C234	U+4B05	䬅
0x8234C235	U+4B06	䬆
0x8234C236	U+4B07	䬇
0x8234C237	U+4B08	䬈
0x8234C238	U+4B09	䬉
0x8234C239	U+4B0A	䬊
0x8234C330	U+4B0B	䬋
0x8234C331	U+4B0C	䬌
0x8234C332	U+4B0D	䬍
0x8234C333	U+4B0E	䬎
0x8234C334	U+4B0F	䬏
0x8234C335	U+4B10	䬐
0x8234C336	U+4B11	䬑
0x8234C337	U+4B12	䬒
0x8234C338	U+4B13	䬓
0x8234C339	U+4B14	䬔
0x8234C430	U+4B15	䬕
0x8234C431	U+4B16	䬖
0x8234C432	U+4B17	䬗
0x8234C433	U+4B18	䬘
0x8234C434	U+4B19	䬙
0x8234C435	U+4B1A	䬚
0x8234C436	U+4B1B	䬛
0x8234C437	U+4B1C	䬜
0x8234C438	U+4B1D	䬝
0x8234C439	U+4B1E	䬞
0x8234C530	U+4B1F	䬟
0x8234C532	U+4B21	䬡
0x8234CA34	U+4B55	䭕
0x8234CC35	U+4B6A	䭪
0x8234CC39	U+4B6E	䭮
0x8234CD34	U+4B73	䭳
0x8234CD36	U+4B75	䭵
0x8234CD37	U+4B76	䭶
0x8234CD39	U+4B78	䭸
0x8234CE30	U+4B79	䭹
0x8234CE31	U+4B7A	䭺
0x8234CE32	U+4B7B	䭻
0x8234CE35	U+4B7E	䭾
0x8234CE36	U+4B7F	䭿
0x8234CE37	U+4B80	䮀
0x8234CE38	U+4B81	䮁
0x8234CE39	U+4B82	䮂
0x8234CF30	U+4B83	䮃
0x8234CF32	U+4B85	䮅
0x8234CF33	U+4B86	䮆
0x8234CF34	U+4B87	䮇
0x8234CF36	U+4B89	䮉
0x8234CF37	U+4B8A	䮊
0x8234CF38	U+4B8B	䮋
0x8234CF39	U+4B8C	䮌
0x8234D031	U+4B8E	䮎
0x8234D032	U+4B8F	䮏
0x8234D033	U+4B90	䮐
0x8234D034	U+4B91	䮑
0x8234D035	U+4B92	䮒
0x8234D036	U+4B93	䮓
0x8234D037	U+4B94	䮔
0x8234D038	U+4B95	䮕
0x8234D039	U+4B96	䮖
0x8234D130	U+4B97	䮗
0x8234D131	U+4B98	䮘
0x8234D132	U+4B99	䮙
0x8234D133	U+4B9A	䮚
0x8234D134	U+4B9B	䮛
0x8234D135	U+4B9C	䮜
0x8234D136	U+4B9D	䮝
0x8234D137	U+4B9E	䮞
0x8234D138	U+4B9F	䮟
0x8234D139	U+4BA0	䮠
0x8234D230	U+4BA1	䮡
0x8234D231	U+4BA2	䮢
0x8234D232	U+4BA3	䮣
0x8234D233	U+4BA4	䮤
0x8234D234	U+4BA5	䮥
0x8234D235	U+4BA6	䮦
0x8234D237	U+4BA8	䮨
0x8234D238	U+4BA9	䮩
0x8234D239	U+4BAA	䮪
0x8234D330	U+4BAB	䮫
0x8234D331	U+4BAC	䮬
0x8234D332	U+4BAD	䮭
0x8234D333	U+4BAE	䮮
0x8234D334	U+4BAF	䮯
0x8234D335	U+4BB0	䮰
0x8234D336	U+4BB1	䮱
0x8234D337	U+4BB2	䮲
0x8234D338	U+4BB3	䮳
0x8234D339	U+4BB4	䮴
0x8234D430	U+4BB5	䮵
0x8234D431	U+4BB6	䮶
0x8234D432	U+4BB7	䮷
0x8234D433	U+4BB8	䮸
0x8234D434	U+4BB9	䮹
0x8234D435	U+4BBA	䮺
0x8234D436	U+4BBB	䮻
0x8234D437	U+4BBC	䮼
0x8234D438	U+4BBD	䮽
0x8234D439	U+4BBE	䮾
0x8234D530	U+4BBF	䮿
0x8234D531	U+4BC0	䯀
0x8234D532	U+4BC1	䯁
0x8234D533	U+4BC2	䯂
0x8234D835	U+4BE2	䯢
0x8234D932	U+4BE9	䯩
0x8234D935	U+4BEC	䯬
0x8234DA33	U+4BF4	䯴
0x8234DA35	U+4BF6	䯶
0x8234DA38	U+4BF9	䯹
0x8234DA39	U+4BFA	䯺
0x8234DB30	U+4BFB	䯻
0x8234DB32	U+4BFD	䯽
0x8234DB33	U+4BFE	䯾
0x8234DB35	U+4C00	䰀
0x8234DB36	U+4C01	䰁
0x8234DB37	U+4C02	䰂
0x8234DB39	U+4C04	䰄
0x8234DC30	U+4C05	䰅
0x8234DC31	U+4C06	䰆
0x8234DC32	U+4C07	䰇
0x8234DC33	U+4C08	䰈
0x8234DC34	U+4C09	䰉
0x8234DC35	U+4C0A	䰊
0x8234DC36	U+4C0B	䰋
0x8234DC38	U+4C0D	䰍
0x8234DC39	U+4C0E	䰎
0x8234DD30	U+4C0F	䰏
0x8234DD31	U+4C10	䰐
0x8234DD32	U+4C11	䰑
0x8234DD33	U+4C12	䰒
0x8234DD34	U+4C13	䰓
0x8234DD35	U+4C14	䰔
0x8234DD36	U+4C15	䰕
0x8234DD37	U+4C16	䰖
0x8234DD38	U+4C17	䰗
0x8234DD39	U+4C18	䰘
0x8234DE35	U+4C1E	䰞
0x8234E034	U+4C31	䰱
0x8234E539	U+4C68	䱨
0x8234E635	U+4C6E	䱮
0x8234E730	U+4C73	䱳
0x8234E738	U+4C7C	䱼
0x8234E831	U+4C7F	䱿
0x8234E832	U+4C80	䲀
0x8234E833	U+4C81	䲁
0x8234E834	U+4C82	䲂
0x8234E836	U+4C84	䲄
0x8234E837	U+4C85	䲅
0x8234E931	U+4C89	䲉
0x8234E932	U+4C8A	䲊
0x8234E934	U+4C8C	䲌
0x8234E936	U+4C8E	䲎
0x8234E938	U+4C90	䲐
0x8234EA30	U+4C92	䲒
0x8234EA32	U+4C94	䲔
0x8234EA34	U+4C96	䲖
0x8234EA35	U+4C97	䲗
0x8234EA37	U+4C99	䲙
0x8234EA38	U+4C9A	䲚
0x8234EB30	U+4C9C	䲜
0x8234EC30	U+4CAB	䲫
0x8234EC31	U+4CAC	䲬
0x8234EC32	U+4CAD	䲭
0x8234ED39	U+4CBE	䲾
0x8234EE31	U+4CC0	䳀
0x8234EE32	U+4CC1	䳁
0x8234EE34	U+4CC3	䳃
0x8234EE39	U+4CC8	䳈
0x8234EF34	U+4CCD	䳍
0x8234EF37	U+4CD0	䳐
0x8234EF38	U+4CD1	䳑
0x8234EF39	U+4CD2	䳒
0x8234F031	U+4CD4	䳔
0x8234F033	U+4CD6	䳖
0x8234F034	U+4CD7	䳗
0x8234F035	U+4CD8	䳘
0x8234F036	U+4CD9	䳙
0x8234F131	U+4CDE	䳞
0x8234F132	U+4CDF	䳟
0x8234F133	U+4CE0	䳠
0x8234F136	U+4CE3	䳣
0x8234F137	U+4CE4	䳤
0x8234F230	U+4CE7	䳧
0x8234F233	U+4CEA	䳪
0x8234F234	U+4CEB	䳫
0x8234F237	U+4CEE	䳮
0x8234F239	U+4CF0	䳰
0x8234F330	U+4CF1	䳱
0x8234F331	U+4CF2	䳲
0x8234F334	U+4CF5	䳵
0x8234F335	U+4CF6	䳶
0x8234F336	U+4CF7	䳷
0x8234F337	U+4CF8	䳸
0x8234F338	U+4CF9	䳹
0x8234F339	U+4CFA	䳺
0x8234F430	U+4CFB	䳻
0x8234F431	U+4CFC	䳼
0x8234F433	U+4CFE	䳾
0x8234F434	U+4CFF	䳿
0x8234F435	U+4D00	䴀
0x8234F436	U+4D01	䴁
0x8234F437	U+4D02	䴂
0x8234F439	U+4D04	䴄
0x8234F530	U+4D05	䴅
0x8234F532	U+4D07	䴇
0x8234F533	U+4D08	䴈
0x8234F535	U+4D0A	䴊
0x8234F536	U+4D0B	䴋
0x8234F537	U+4D0C	䴌
0x8234F538	U+4D0D	䴍
0x8234F539	U+4D0E	䴎
0x8234F630	U+4D0F	䴏
0x8234F631	U+4D10	䴐
0x8234F632	U+4D11	䴑
0x8234F633	U+4D12	䴒
0x8234F736	U+4D26	䴦
0x8234F739	U+4D29	䴩
0x8234F830	U+4D2A	䴪
0x8234FA37	U+4D45	䵅
0x8234FB31	U+4D49	䵉
0x8234FE35	U+4D6B	䵫
0x82358135	U+4D75	䵵
0x82358232	U+4D7C	䵼
0x82358233	U+4D7D	䵽
0x82358236	U+4D80	䶀
0x82358237	U+4D81	䶁
0x82358336	U+4D8A	䶊
0x82358337	U+4D8B	䶋
0x82358338	U+4D8C	䶌
0x82358339	U+4D8D	䶍
0x82358430	U+4D8E	䶎
0x82358431	U+4D8F	䶏
0x82358432	U+4D90	䶐
0x82358433	U+4D91	䶑
0x82358538	U+4DA0	䶠
0x82358630	U+4DA2	䶢
0x82358639	U+4DAB	䶫
0x82358730	U+4DAC	䶬
0x82358735	U+4DB2	䶲
0x82358736	U+4DB3	䶳
0x82358737	U+4DB4	䶴
0x82358738	U+4DB5	䶵
0x82359030	U+9FAD	龭
0x82359031	U+9FAE	龮
0x82359139	U+9FC0	鿀
0x82359335	U+9FD0	鿐
0x82359436	U+9FDB	鿛
0x82359437	U+9FDC	鿜
0x82359438	U+9FDD	鿝
0x82359439	U+9FDE	鿞
0x82359531	U+9FE0	鿠
0x82359532	U+9FE1	鿡
0x82359536	U+9FE5	鿥
0x82359538	U+9FE7	鿧
0x82359539	U+9FE8	鿨
0x82359630	U+9FE9	鿩
0x95328A38	U+20052	𠁒
0x95328C30	U+2005E	𠁞
0x95329D32	U+2010A	𠄊
0x95329D33	U+2010B	𠄋
0x9532A235	U+2013F	𠄿
0x9532A831	U+20177	𠅷
0x9532A839	U+2017F	𠅿
0x9532A930	U+20180	𠆀
0x9532A931	U+20181	𠆁
0x9532A936	U+20186	𠆆
0x9532AA32	U+2018C	𠆌
0x9532AA34	U+2018E	𠆎
0x9532AA38	U+20192	𠆒
0x9532AB36	U+2019A	𠆚
0x9532AB38	U+2019C	𠆜
0x9532AB39	U+2019D	𠆝
0x9532AC30	U+2019E	𠆞
0x9532AC31	U+2019F	𠆟
0x9532AC32	U+201A0	𠆠
0x9532AC33	U+201A1	𠆡
0x9532D836	U+2035C	𠍜
0x9532D839	U+2035F	𠍟
0x9532DB37	U+2037B	𠍻
0x9532E634	U+203E6	𠏦
0x9532E739	U+203F5	𠏵
0x9532EA34	U+2040E	𠐎
0x9532EC33	U+20421	𠐡
0x9532ED30	U+20428	𠐨
0x9532EE31	U+20433	𠐳
0x9532EF37	U+20443	𠑃
0x9532F036	U+2044C	𠑌
0x9532F039	U+2044F	𠑏
0x9532F132	U+20452	𠑒
0x9532F235	U+2045F	𠑟
0x9532F238	U+20462	𠑢
0x9532F239	U+20463	𠑣
0x9532F331	U+20465	𠑥
0x9532F335	U+20469	𠑩
0x9532F336	U+2046A	𠑪
0x9532F339	U+2046D	𠑭
0x9532F430	U+2046E	𠑮
0x9532F432	U+20470	𠑰
0x9532F433	U+20471	𠑱
0x9532F435	U+20473	𠑳
0x9532F436	U+20474	𠑴
0x9532F437	U+20475	𠑵
0x9532FB36	U+204BA	𠒺
0x9532FD37	U+204CF	𠓏
0x9532FE38	U+204DA	𠓚
0x95338433	U+204FD	𠓽
0x95338435	U+204FF	𠓿
0x95338A32	U+20538	𠔸
0x95338A34	U+2053A	𠔺
0x95338A35	U+2053B	𠔻
0x95338F38	U+20570	𠕰
0x95339337	U+20597	𠖗
0x95339430	U+2059A	𠖚
0x95339432	U+2059C	𠖜
